country,population,gdp_capita,forecasted_weeks,known_cases,known_hcw,labstaff,beds_total,percent_availbeds,predcases_all,predcases_critical,predcases_severe,predcases_mild,beds_peak,beds_peak_ICU,beds_peak_severe,forecasted_tests,forecasted_tests_critical,forecasted_tests_mild,hcw_required,deaths_estimated,deaths_actual,deaths_per_10000
austria,8883000,51462,4,14586,121892,2022,67511,3.32,1771729,88586,265759,1417383,67511,2160,65351,1736294,1063037,673257,416566,,431,0.4851964426
belgium,11538000,47519,4,36138,171045,2626,71536,3.32,2291216,114561,343682,1832973,71536,2375,69161,2245392,1374730,870662,522623,,5163,4.474778991
bulgaria,7000000,9273,6,846,67022,1574,47029,1.63,1382769,69138,207415,1106216,47029,767,46262,1355114,829662,525452,286407,,41,0.05857142857
croatia,4052000,14910,5,1814,46637,922,22691,3.32,808952,40448,121343,647161,22691,753,21938,792773,485371,307402,155377,,36,0.08884501481
cyprus,1207000,28690,5,750,9177,339,4104,3.57,240969,12048,36145,192776,4104,147,3957,236150,144582,91568,46195,,12,0.09942004971
czechrepublic,10631000,23079,5,6499,139490,2420,69102,3.57,2121329,106066,318199,1697063,69102,2467,66635,2078902,1272797,806105,522623,,173,0.1627316339
denmark,5840000,61350,4,7268,88517,1329,14660,2.38,1163129,58156,174469,930503,14660,349,14311,1139866,697877,441989,215206,,336,0.5753424658
estonia,1313000,23266,4,1459,13063,299,6565,2.38,261152,13058,39173,208921,6565,156,6409,255929,156691,99624,46195,,38,0.2894135567
finland,5518000,50152,5,3489,105029,6859,24411,3.57,1108152,55408,166223,886521,24411,871,23540,1085989,664891,421098,195884,,82,0.1486045669
france,66990000,41464,4,147121,873495,15350,438380,3.57,13433491,671675,2015024,10746793,438380,15650,422730,13164821,8060095,5104726,2525494,,18703,2.79190924
germany,83020000,47603,4,149041,1472115,18818,686227,2.38,16480491,824025,2472074,13184393,686227,16332,669895,16150881,9888295,6262586,3533616,,4352,0.5242110335
greece,10720000,20324,6,2224,89211,6154,45860,3.57,2131552,106578,319733,1705241,45860,1637,44223,2088921,1278931,809990,522623,,108,0.1007462687
hungary,9773000,16162,5,1763,99604,2207,67865,3.57,1937552,96878,290633,1550041,67865,2423,65442,1898801,1162531,736270,479297,,156,0.1596234524
ireland,4904000,78806,4,13980,87714,1123,13812,3.57,981729,49086,147259,785383,13812,493,13319,962094,589037,373057,156003,,530,1.080750408
italy,60360000,34483,4,172434,624335,13713,204850,3.32,11994891,599745,1799234,9595913,204850,6555,198295,11754993,7196935,4558058,2049523,,22745,3.768223989
latvia,1920000,17860,5,682,16021,434,11049,3.32,380569,19028,57085,304456,11049,354,10695,372958,228342,144616,75149,,5,0.02604166667
lithuania,2794000,19153,5,1149,35009,630,20199,3.57,552969,27648,82945,442376,20199,721,19478,541910,331782,210128,132188,,33,0.1181102362
luxembourg,613894,116640,3,3480,9813,142,2986,3.57,122952,6148,18443,98361,2986,107,2879,120493,73771,46722,26024,,72,1.172840914
malta,493559,30098,5,422,6406,111,2284,3.32,97072,4854,14561,77658,2284,76,2208,96165,58243,37922,17024,,3,0.06078300669
netherlands,17280000,53024,4,30619,260141,3944,82451,3.57,3449616,172481,517442,2759693,81451,2908,78543,3380624,2069770,1310854,571925,,3471,2.008680556
poland,37970000,15421,6,8379,322179,8605,245739,3.57,7556329,377816,1133449,6045063,245739,8773,236966,7405202,4533797,2871405,1757886,,332,0.08743745062
portugal,10280000,23408,3,19022,103052,2320,34663,3.57,2022616,101131,303392,1618093,34663,1237,33426,1982164,1213570,768594,503383,,657,0.6391050584
romania,19410000,12301,5,8067,168536,455,121256,3.32,3844529,192226,576679,3075623,121256,4026,117230,3767638,2306717,1460921,697638,,411,0.2117465224
slovakia,5450000,19443,6,1049,63496,3148,31598,3.57,1089169,54458,163375,871336,31598,1128,30470,1067386,653502,413884,189267,,9,0.01651376147
slovenia,2081000,26124,5,1304,27027,470,9508,2.38,412969,20648,61945,330376,9508,226,9282,404710,247782,156928,85868,,66,0.3171552138
spain,46940000,30371,3,188093,467101,10632,140133,3.32,9156836,457842,1373525,7325469,140133,4652,135481,8973699,5494102,3479597,1757886,,20002,4.261184491
sweden,10230000,54608,4,13216,178962,2349,26829,3.57,2058929,102946,308839,1647143,26829,958,25871,2017750,1235357,782393,511588,,1400,1.368523949