country,population,gdp_capita,forecasted_weeks,known_cases,known_hcw,labstaff,beds_total,perc_availbeds,forecasted_cases,critical_cases,severe_cases,mild_cases,beds_peak,icubeds_peak,severebeds_peak,forecased_tests,forecasted_criticaltests,forecasted_mildtests,hcw_required
albania,2867000,5269,5,361,14907,653,8314,3.32%,572969,28648,85945,458376,8314,276,8038,561510,343782,217728,138805
austria,8883000,51462,4,13806,121892,2022,67511,3.32%,1771729,88586,265759,1417383,67511,2241,65270,1736294,1063037,673257,416566
belarus,9448000,6290,5,2226,150370,2150,103928,3.57%,1888152,94408,283223,1510521,103928,3710,100218,1850389,1132891,717498,453953
belgium,11538000,47519,4,28018,171045,2626,71536,3.32%,2291216,114561,343682,1832973,71536,2375,69161,2245392,1374730,870662,522623
bosniaherzegovina,3281000,6066,6,1004,28545,747,11484,3.32%,655769,32788,98365,524616,11484,381,11103,642654,393462,249192,155377
croatia,4052000,14910,5,1600,46637,922,22691,3.32%,808952,40448,121343,647161,22691,753,21938,792773,485371,307402,155377
cyprus,1207000,28159,5,633,9177,339,4104,3.57%,240969,12048,36145,192776,4104,147,3957,236150,144582,91568,46195
czechrepublic,10631000,23079,5,5952,139499,2420,69102,3.57%,2121329,106066,318199,1697063,69102,2467,66635,2078902,1272797,806105,522623
denmark,5840000,61350,4,6174,88517,1329,14660,2.38%,1163129,58156,174469,930503,14660,349,14311,1139866,697877,441989,215206
estonia,1313000,23266,5,1309,13063,299,6565,2.38%,262169,13108,39325,209736,6565,156,6409,256926,157302,99624,46195